00:00:00.041 [scheduling-1] INFO  c.s.r.scheduler.MyScheduler - Scheduler triggered for Every hour on 2022/05/05 00:00:00
00:17:21.677 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 30112 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
00:17:21.678 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
00:17:21.678 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
00:17:25.296 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.862 seconds (JVM running for 4.292)
00:17:25.299 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
00:17:25.300 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
00:17:34.432 [http-nio-9090-exec-1] INFO  c.s.r.service.EmployeeService - Getting all employees...
00:17:34.432 [http-nio-9090-exec-1] DEBUG c.s.r.service.EmployeeService - sefaes
01:00:00.038 [scheduling-1] INFO  c.s.r.scheduler.MyScheduler - Scheduler triggered for Every hour on 2022/05/05 01:00:00
02:00:00.004 [scheduling-1] INFO  c.s.r.scheduler.MyScheduler - Scheduler triggered for Every hour on 2022/05/05 02:00:00
15:31:12.570 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 32384 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
15:31:12.571 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
15:31:12.571 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
15:31:16.206 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.889 seconds (JVM running for 4.354)
15:31:16.209 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
15:31:16.210 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
15:37:43.845 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 30564 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
15:37:43.846 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
15:37:47.231 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.618 seconds (JVM running for 4.021)
15:37:47.233 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
15:37:47.234 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
15:37:59.601 [http-nio-9090-exec-2] INFO  c.s.r.service.EmployeeService - Getting all employees...
15:44:45.265 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 31080 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
15:44:45.265 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
15:44:45.266 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
15:44:48.703 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.672 seconds (JVM running for 4.09)
15:44:48.705 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
15:44:48.706 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
15:44:59.951 [http-nio-9090-exec-1] INFO  c.s.r.service.EmployeeService - Getting all employees...
15:44:59.951 [http-nio-9090-exec-1] DEBUG c.s.r.service.EmployeeService - sefaes
15:57:47.904 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 2784 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
15:57:47.904 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
15:57:47.904 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
15:57:51.273 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.607 seconds (JVM running for 4.009)
15:57:51.275 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
15:57:51.276 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
16:00:00.036 [scheduling-1] INFO  c.s.r.scheduler.MyScheduler - Scheduler triggered for Every hour on 2022/05/05 16:00:00
16:04:07.970 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 24932 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
16:04:07.970 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
16:04:07.970 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
16:04:11.317 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.577 seconds (JVM running for 3.974)
16:04:11.319 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
16:04:11.320 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
16:04:24.654 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 10580 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
16:04:24.654 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
16:04:24.654 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
16:04:28.098 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.679 seconds (JVM running for 4.102)
16:04:28.100 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
16:04:28.101 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
16:06:17.809 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 27340 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
16:06:17.809 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
16:06:17.810 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - No active profile set, falling back to default profiles: default
16:06:21.006 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Started RestCrudApiTutorialApplication in 3.437 seconds (JVM running for 3.845)
16:06:21.008 [restartedMain] INFO  c.s.r.startup.MyStartup - Application name: rest-api-tutorials just loaded!
16:06:21.009 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - App started
16:07:20.347 [restartedMain] INFO  c.s.r.RestCrudApiTutorialApplication - Starting RestCrudApiTutorialApplication using Java 17.0.2 on DESKTOP-9JL74QH with PID 25640 (C:\Users\NORUL\Downloads\rest-crud-api-tutorial\target\classes started by NORUL in C:\Users\NORUL\Downloads\java-core-tutorials)
16:07:20.347 [restartedMain] DEBUG c.s.r.RestCrudApiTutorialApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
